M9Wed		<br>‘The|<br>The Lord told this parable. ‘The
M9Thu		<br>While|<br>At that time, while
M9Fri		<br>Jesus|<br>At that time Jesus
M9Sat		<br>Jesus|<br>At that time Jesus
M9Sun		<br>Immediately afterwards Jesus|<br>At that time Jesus
M10Mon		<br>In the morning he was returning|<br>At that time Jesus returned
M10Tue		<br>He|<br>At that time Jesus
M10Wed		<br>‘But what do you think? There|<br>The Lord told this parable. ‘There
M10Thu		<br>‘This is why I am telling you|<br>The Lord said to the Jews who came to him, ‘I tell you
M10Fri		<br>On that day Sadducees, those who say that there is no resurrection, came up to him|<br>At that time the Sadducees, those who say that there is no resurrection, came up to Jesus
M10Sat		<br>When they arrived at Capernaum,|<br>At that time
M10Sun		<br>When they reached the crowd, a man came up to him|<br>At that time a man came up to Jesus
M11Mon		<br>‘Woe to you|<br>The Lord said to the Jews who came to him, ‘Woe to you
M11Tue		<br>‘Woe to you|<br>The Lord said to the Jews who came to him, ‘Woe to you
M11Wed		<br>‘Woe to you|<br>The Lord said to the Jews who came to him, ‘Woe to you
M11Thu		<br>‘But those|<br>The Lord said to his disciples, ‘Those
M11Fri		<br>‘for just|<br>The Lord said to his disciples, ‘Just
M11Sat		<br>Then the Pharisees came to him|<br>At that time the Pharisees came to Jesus
M11Sun		<br>‘In this way the|<br>The Lord told this parable. ‘The
M12Mon		
M12Tue		<br>As he|<br>At that time as Jesus%for they were fishermen. Jesus|for they were fishermen. He
M12Wed		<br>There was a man in their|<br>At that time there was a man in the
M12Thu		<br>On leaving the synagogue, they went straight|At that time, on leaving the synagogue Jesus went%fever, and they told him|fever, and they told Jesus
M12Fri		<br>John|<br>At that time John%came and asked him, ‘Why|came and asked Jesus, ‘Why
M12Sat		<br>On leaving Jericho, a great crowd followed him|<br>At that time, on leaving Jericho, a great crowd followed Jesus
M12Sun		<br>Someone appeared and approached him,|<br>At that time a man approached Jesus
M13Mon		<br>The|<br>At that time the%with the Herodians about him,|with the Herodians about Jesus
M13Tue		<br>Then he|<br>At that time Jesus
M13Wed		<br>and again|<br>At that time Jesus returned to the house, and again%When his family heard about it|When Jesus’ family heard about it
M13Thu		<br>‘Truly|<br>The Lord said, ‘Truly
M13Fri		<br>Again he|<br>At that time Jesus
M13Sat		<br>The Pharisees then went away and discussed how they might catch him|<br>At that time the Pharisees went away and discussed how they might catch Jesus
M13Sun		<br>‘Listen to another parable. There|<br>The Lord told this parable. ‘There
M14Mon		<br>When he|<br>At that time when Jesus
M14Tue		<br>He also told them,|<br>The Lord said to his disciples,
M14Wed		<br>On that day when evening came, he said to them,|<br>The Lord said to his disciples,
M14Thu		<br>They|<br>At that time Jesus
M14Fri		<br>Then one|<br>At that time one
M14Sat		<br>Jesus then|<br>At that time Jesus
M14Sun		<br>‘The|<br>The Lord told this parable. ‘The
M15Mon		<br>And he went with him. A large crowd followed him|<br>At that time a large crowd followed Jesus
M15Tue		<br>From there he|<br>At that time Jesus
M15Wed		<br>He|<br>At that time Jesus
M15Thu		<br>The|<br>At that time the
M15Fri		<br>He|<br>At that time Jesus
M15Sat		<br>Jesus|<br>At that time Jesus
M15Sun		<br>One of them, a lawyer, questioned him|<br>At that time one of the Pharisees, a lawyer, questioned Jesus
M16Mon		<br>As they left the boat he|<br>At that time as they left the boat Jesus
M16Tue		<br>And so the Pharisees and the scribes asked him|<br>At that time the Pharisees and the scribes asked Jesus%unclean.’<br><br>|unclean. Let those who have ears for listening, listen.’<br><br>
M16Wed		<br>He|<br>At that time Jesus
M16Thu		<br>From there he|<br>At that time Jesus
M16Fri		<br>In those days the|<br>At that time the
M16Sat		<br>‘Truly|<br>The Lord said, ‘Truly
M16Sun		</em><br>‘It is also like|; Luke 8:8b</em><br>The Lord told this parable. ‘The Kingdom of Heaven is like%teeth.”’<br><br><em>Luke 8:8</em><br>‘And some fell into good soil, and it grew and bore fruit a hundred times over.’|teeth.”’ …
M17Mon		<br>They reached Jericho. Then, as he|<br>At that time, as Jesus
M17Tue		<br>Jesus|<br>At that time Jesus
M17Wed		<br>‘Truly|<br>The Lord said to his disciples, ‘Truly
M17Thu		<br>Again they|<br>At that time Jesus
M17Fri		<br>He began to speak to them in parables. ‘A|<br>The Lord told this parable. ‘A
M17Sat		<br>‘At that time the|<br>The Lord told this parable. ‘The
M17Sun		<br>Jesus left that place and withdrew|<br>At that time Jesus withdrew
L1Mon		<br>Herod the Tetrarch, who had been censured by him|<br>At that time Herod the Tetrarch, who had been censured by John
L1Tue		<br>When|<br>At that time, when
L1Wed		<br>Jesus|<br>At that time Jesus
L1Thu		<br>He|<br>At that time Jesus
L1Fri		<br>They were all speaking approvingly of him|<br>At that time they were all speaking approvingly of Jesus
L1Sat		<br>He then|<br>At that time Jesus
L1Sun		<br>He|<br>At that time Jesus
L2Mon		<br>And his|<br>At that time Jesus’
L2Tue		<br>He|<br>At that time Jesus
L2Wed		<br>They asked him|<br>At that time the scribes and the Pharisees asked Jesus
L2Thu		<br>In those days he|<br>At that time Jesus
L2Fri		<br>He|<br>Jesus
L2Sat		<br>One day when he|<br>At that time, when Jesus
L2Sun		<br>‘|<br>The Lord said, ‘
L3Mon		<br>‘But woe|<br>The Lord said, ‘Woe
L3Tue		<br>‘|<br>The Lord said, ‘
L3Wed		<br>‘|<br>The Lord said, ‘
L3Thu		<br>And this report about him|<br>At that time news about Jesus
L3Fri		<br>‘|<br>The Lord said, ‘
L3Sat		<br>After that he went out and saw|<br>At that time Jesus saw
L3Sun		<br>On the following day he|<br>At that time Jesus
L4Mon		<br>One of the Pharisees asked him|<br>At that time one of the Pharisees asked Jesus
L4Tue		<br>After that he|<br>At that time Jesus
L4Wed		<br>Then one day he|<br>At that time Jesus
L4Thu		<br>Herod the Tetrarch heard about everything being done by him|<br>At that time Herod the Tetrarch heard about everything being done by Jesus
L4Fri		<br>When the day began to wane, the Twelve came up and said to him|At that time the Twelve came up and said to Jesus
L4Sat		<br>As he|<br>At that time, as Jesus
L4Sun		<br>‘The sower|<br>The Lord told this parable. ‘A sower%’ After saying this he exclaimed, ‘Let those who have ears for listening, listen.’|’ …%endures.’<br>|endures.’ … After saying this he exclaimed, ‘Let those who have ears for listening, listen.’<br>
L5Mon		<br>Once when he|<br>At that time, when Jesus
